Word,Synonyms,Level
chat,"['conversation', 'rap']",A
worry,"['headache', 'pain', 'problem']",A
travel,"['ride', 'sailing', 'sightseeing', 'trip', 'walk', 'weekend']",A
toast,"['down', 'drink', 'health']",A
sightseeing,"['ride', 'sailing', 'trip', 'walk', 'weekend']",A
journey,"['adventure', 'course', 'trip', 'round']",A
guide,"['model', 'pilot', 'teacher', 'example', 'ideal']",A
acquire,"['achieve', 'buy', 'collect', 'gain', 'get', 'have', 'promote', 'take', 'win', 'access', 'catch', 'gather', 'grab', 'land', 'secure']",B
ambitious,"['aggressive', 'determined', 'energetic', 'enthusiastic', 'anxious', 'climbing', 'eager', 'hopeful', 'hungry', 'thirsty']",B
assess,"['appraise', 'check', 'estimate', 'fix', 'judge', 'weigh', 'guess', 'reckon', 'size', 'value']",B
breathtaking,"['amazing', 'astonishing', 'exciting', 'impressive', 'magnificent', 'stunning', 'thrilling', 'moving']",B
brief,"['crisp', 'limited', 'little', 'small']",B
courtesy,"['generosity', 'kindness', 'sympathy', 'address', 'ceremony', 'consideration', 'culture', 'friendliness', 'politeness', 'respect']",B
conjunction,"['partnership', 'agreement', 'association', 'coincidence', 'union']",B
witty,"['amusing', 'bright', 'brilliant', 'crazy', 'entertaining', 'gay', 'intelligent', 'keen', 'lively', 'original', 'ridiculous']",B
voyage,"['crossing', 'cruise', 'passage', 'swing', 'tour', 'travel', 'trip', 'weekend', 'overnight']",B
vital,"['basic', 'crucial', 'decisive', 'important', 'key', 'meaningful', 'necessary', 'significant', 'urgent', 'heavy', 'name']",B
trivial,"['minor', 'unimportant', 'atomic', 'little', 'mean', 'slight', 'small']",B
sympathy,"['kindness', 'understanding', 'warmth', 'agreement', 'connection', 'feelings', 'heart', 'union']",B
stimulate,"['encourage', 'inspire', 'prompt', 'fan', 'fire', 'grab', 'hook', 'jazz', 'move', 'send', 'support', 'juice']",B
souvenir,"['gift', 'trophy']",B
queue,"['chain', 'file', 'order', 'row', 'series', 'string', 'tail', 'train']",B
quarrel,"['argument', 'misunderstanding', 'row', 'struggle', 'beef', 'complaint', 'difficulty', 'dust', 'fight', 'objection']",B
parallel,['alongside'],B
alliance,"['bond', 'coherence', 'collaboration', 'combination', 'conjunction', 'connection', 'cooperation', 'friendship', 'league', 'marriage', 'membership', 'pact', 'partnership', 'relation', 'support', 'tie', 'treaty', 'union']",C
charisma,"['glamour', 'IT', 'appeal', 'dazzle', 'fascination', 'flash', 'something']",C
acquaintance,"['associate', 'colleague', 'companion', 'friend', 'association', 'contact']",C
catastrophe,"['accident', 'casualty', 'crash', 'devastation', 'disaster', 'emergency', 'failure', 'hardship', 'misery', 'mishap', 'tragedy', 'trouble', 'wreck', 'blow', 'end', 'grief', 'ill', 'misfortune', 'reverse', 'stroke', 'trial']",C
bias,"['inclination', 'intolerance', 'preference', 'prejudice', 'tendency', 'disposition', 'flash', 'spin', 'standpoint', 'turn', 'viewpoint']",C
bureaucracy,"['administration', 'authority', 'management', 'ministry', 'government']",C
coherence,"['continuity', 'integrity', 'solidarity', 'unity', 'attachment', 'bond', 'cling', 'connection', 'construction', 'relations', 'union']",C
commemorate,"['celebrate', 'observe', 'remember', 'admire', 'keep', 'monument']",C
curb,"['barrier', 'restraint', 'restriction', 'border', 'brake', 'chain', 'control', 'deterrent', 'edge', 'limitation', 'lip']",C
dazzle,"['awe', 'blind', 'fascinate', 'impress', 'overwhelm', 'surprise']",C
detrimental,"['disturbing', 'harmful', 'negative', 'bad', 'evil', 'ill']",C
dispute,"['conflict', 'controversy', 'debate', 'disagreement', 'discussion', 'disturbance', 'friction', 'misunderstanding', 'quarrel', 'row', 'beef', 'fuss']",C
eccentric,"['bizarre', 'curious', 'funny', 'odd', 'peculiar', 'strange', 'unconventional', 'weird', 'beat', 'characteristic', 'crazy', 'irregular', 'singular', 'wild', 'abnormal', 'quaint', 'uncommon', 'unnatural']",C
eminent,"['distinguished', 'outstanding', 'prominent', 'renowned', 'well-known', 'dominant', 'grand', 'great', 'high', 'name', 'noble', 'notable', 'paramount', 'prestigious', 'star', 'superior']",C
envisage,"['confront', 'consider', 'image', 'picture', 'regard']",C
facilitate,"['aid', 'ease', 'further', 'help', 'promote', 'simplify', 'speed', 'forward', 'smooth']",C
horizon,"['boundary', 'perspective', 'prospect', 'scope', 'border', 'limit', 'range', 'reach', 'realm', 'sphere', 'stretch']",C
hypocritical,"['deceptive', 'unnatural', 'artificial', 'bland', 'double', 'fraudulent', 'hollow', 'smooth', 'unreliable']",C
impersonal,"['abstract', 'detached', 'indifferent', 'remote', 'cool', 'equal', 'fair', 'formal', 'inhuman', 'neutral', 'objective', 'straight', 'unbiased']",C
indulge,"['entertain', 'satisfy', 'spoil', 'allow', 'baby', 'cater', 'delight', 'oblige', 'pet', 'please', 'yield']",C
juvenile,"['adolescent', 'developing', 'green', 'growing', 'infant', 'junior', 'tender', 'young', 'fresh', 'immature', 'inexperienced', 'naive', 'teenage', 'undeveloped']",C
meticulous,"['accurate', 'cautious', 'conscientious', 'exact', 'fussy', 'precise', 'strict', 'thorough', 'particular']",C
